epoch,learning_rate,loss,mae,val_loss,val_mae
0,0.0010000000474974513,0.8127841353416443,0.5747207999229431,0.22046762704849243,0.39578649401664734
1,0.0010000000474974513,0.10928239673376083,0.27341124415397644,0.21995708346366882,0.3906659185886383
2,0.0010000000474974513,0.10036488622426987,0.26533058285713196,0.1354253739118576,0.3028813600540161
3,0.0010000000474974513,0.09423668682575226,0.2562365233898163,0.12611958384513855,0.2941788136959076
4,0.0010000000474974513,0.09362515807151794,0.2558576166629791,0.10292322188615799,0.26548829674720764
5,0.0010000000474974513,0.08649151772260666,0.24723030626773834,0.08430947363376617,0.24705831706523895
6,0.0010000000474974513,0.08518479019403458,0.2440120279788971,0.08552587777376175,0.247314915060997
7,0.0010000000474974513,0.08841397613286972,0.24576623737812042,0.08358779549598694,0.24115440249443054
8,0.0010000000474974513,0.08371669054031372,0.24099409580230713,0.08685039728879929,0.24735884368419647
9,0.0010000000474974513,0.08356346189975739,0.24058231711387634,0.10073107481002808,0.2651011049747467
10,0.0010000000474974513,0.08500517904758453,0.24275797605514526,0.08455508947372437,0.24679866433143616
11,0.0010000000474974513,0.08147149533033371,0.2373507171869278,0.10557298362255096,0.26909488439559937
12,0.0010000000474974513,0.0803937241435051,0.2353122979402542,0.08882065862417221,0.25012919306755066
13,0.0005000000237487257,0.06586813181638718,0.21267113089561462,0.09767844527959824,0.26252481341362
14,0.0005000000237487257,0.061575550585985184,0.20274363458156586,0.09379522502422333,0.2605644464492798
15,0.0005000000237487257,0.05853916332125664,0.19867472350597382,0.09832294285297394,0.26559585332870483
16,0.0005000000237487257,0.055474068969488144,0.19237947463989258,0.09753084182739258,0.2635842263698578
17,0.0005000000237487257,0.0534626841545105,0.19002260267734528,0.09903952479362488,0.26411330699920654
